Row,Column,Well,Set,Plate,RandN,A630,A663,A750
B,2,B2,3,3B,165,0.066,0.124,0.05
C,2,C2,3,3B,166,0.052,0.09,0.042
D,2,D2,3,3B,167,0.068,0.145,0.046
E,2,E2,3,3B,168,0.069,0.155,0.043
F,2,F2,3,3B,169,0.07,0.166,0.039
G,2,G2,3,3B,170,0.061,0.125,0.043
H,2,H2,3,3B,171,0.057,0.119,0.041
A,3,A3,3,3B,172,0.07,0.154,0.046
B,3,B3,3,3B,173,0.06,0.118,0.043
C,3,C3,3,3B,174,0.058,0.112,0.042
D,3,D3,3,3B,175,0.06,0.105,0.046
E,3,E3,3,3B,176,0.062,0.121,0.044
F,3,F3,3,3B,177,0.061,0.131,0.041
G,3,G3,3,3B,178,0.068,0.142,0.045
H,3,H3,3,3B,179,0.079,0.193,0.044
A,4,A4,3,3B,180,0.063,0.118,0.044
B,4,B4,3,3B,181,0.071,0.143,0.05
C,4,C4,3,3B,182,0.067,0.143,0.042
D,4,D4,3,3B,183,0.069,0.146,0.04
E,4,E4,3,3B,184,0.059,0.114,0.042
F,4,F4,3,3B,185,0.074,0.176,0.04
G,4,G4,3,3B,186,0.061,0.118,0.044
H,4,H4,3,3B,187,0.068,0.114,0.053
A,5,A5,3,3B,188,0.071,0.139,0.052
B,5,B5,3,3B,189,0.068,0.144,0.043
C,5,C5,3,3B,190,0.06,0.118,0.043
D,5,D5,3,3B,191,0.066,0.134,0.047
E,5,E5,3,3B,192,0.064,0.123,0.045
F,5,F5,3,3B,193,0.079,0.206,0.042
G,5,G5,3,3B,194,0.047,0.071,0.042
H,5,H5,3,3B,195,0.058,0.105,0.045
A,6,A6,3,3B,196,0.056,0.097,0.044
B,6,B6,3,3B,197,0.079,0.168,0.048
C,6,C6,3,3B,198,0.063,0.131,0.043
D,6,D6,3,3B,199,0.066,0.118,0.049
E,6,E6,3,3B,200,0.076,0.15,0.053
F,6,F6,3,3B,201,0.091,0.236,0.042
G,6,G6,3,3B,202,0.066,0.119,0.048
H,6,H6,3,3B,203,0.061,0.102,0.046
A,7,A7,3,3B,204,0.109,0.289,0.045
B,7,B7,3,3B,205,0.097,0.267,0.043
C,7,C7,3,3B,206,0.065,0.141,0.044
D,7,D7,3,3B,207,0.082,0.209,0.042
E,7,E7,3,3B,208,0.062,0.121,0.04
F,7,F7,3,3B,209,0.058,0.118,0.04
G,7,G7,3,3B,210,0.084,0.226,0.04
H,7,H7,3,3B,211,0.059,0.11,0.046
A,8,A8,3,3B,212,0.087,0.217,0.047
B,8,B8,3,3B,213,0.078,0.191,0.044
C,8,C8,3,3B,214,0.055,0.104,0.041
D,8,D8,3,3B,215,0.053,0.09,0.042
E,8,E8,3,3B,216,0.069,0.163,0.04
F,8,F8,3,3B,217,0.064,0.144,0.041
G,8,G8,3,3B,218,0.087,0.253,0.04
H,8,H8,3,3B,219,0.059,0.116,0.044
A,9,A9,3,3B,220,0.061,0.131,0.042
B,9,B9,3,3B,221,0.056,0.107,0.041
C,9,C9,3,3B,222,0.064,0.142,0.04
D,9,D9,3,3B,223,0.059,0.119,0.041
E,9,E9,3,3B,224,0.083,0.198,0.044
F,9,F9,3,3B,225,0.052,0.098,0.039
G,9,G9,3,3B,226,0.068,0.148,0.046
H,9,H9,3,3B,227,0.07,0.162,0.043
A,10,A10,3,3B,228,0.061,0.133,0.042
B,10,B10,3,3B,229,0.057,0.115,0.04
C,10,C10,3,3B,230,0.082,0.212,0.04
D,10,D10,3,3B,231,0.056,0.106,0.041
E,10,E10,3,3B,232,0.07,0.155,0.041
F,10,F10,3,3B,233,0.095,0.242,0.04
G,10,G10,3,3B,234,0.069,0.142,0.044
H,10,H10,3,3B,235,0.115,0.288,0.046
A,11,A11,3,3B,236,0.079,0.156,0.059
B,11,B11,3,3B,237,0.066,0.127,0.048
C,11,C11,3,3B,238,0.056,0.105,0.042
D,11,D11,3,3B,239,0.071,0.161,0.042
E,11,E11,3,3B,240,0.051,0.079,0.043
A,1,A1,3,3C,156,0.055,0.085,0.06
B,1,B1,3,3C,157,0.073,0.172,0.048
C,1,C1,3,3C,158,0.055,0.102,0.043
D,1,D1,3,3C,159,0.053,0.101,0.038
E,1,E1,3,3C,160,0.062,0.128,0.043
F,1,F1,3,3C,161,0.055,0.108,0.041
G,1,G1,3,3C,162,0.049,0.077,0.042
H,1,H1,3,3C,163,0.065,0.145,0.041
A,2,A2,3,3C,164,0.058,0.084,0.056
B,2,B2,3,3C,165,0.075,0.125,0.059
C,2,C2,3,3C,166,0.053,0.084,0.045
D,2,D2,3,3C,167,0.096,0.167,0.071
E,2,E2,3,3C,168,0.072,0.164,0.045
F,2,F2,3,3C,169,0.069,0.152,0.043
G,2,G2,3,3C,170,0.069,0.139,0.049
H,2,H2,3,3C,171,0.064,0.115,0.053
A,3,A3,3,3C,172,0.076,0.147,0.056
B,3,B3,3,3C,173,0.072,0.121,0.057
C,3,C3,3,3C,174,0.06,0.108,0.047
D,3,D3,3,3C,175,0.067,0.107,0.055
E,3,E3,3,3C,176,0.063,0.114,0.048
F,3,F3,3,3C,177,0.069,0.129,0.052
G,3,G3,3,3C,178,0.068,0.13,0.047
H,3,H3,3,3C,179,0.086,0.181,0.054
A,4,A4,3,3C,180,0.062,0.112,0.046
B,4,B4,3,3C,181,0.086,0.15,0.066
C,4,C4,3,3C,182,0.07,0.134,0.049
D,4,D4,3,3C,183,0.069,0.134,0.044
E,4,E4,3,3C,184,0.069,0.115,0.055
F,4,F4,3,3C,185,0.076,0.165,0.048
G,4,G4,3,3C,186,0.071,0.129,0.052
H,4,H4,3,3C,187,0.082,0.128,0.07
A,5,A5,3,3C,188,0.07,0.127,0.053
B,5,B5,3,3C,189,0.07,0.133,0.05
C,5,C5,3,3C,190,0.067,0.117,0.051
D,5,D5,3,3C,191,0.06,0.117,0.045
E,5,E5,3,3C,192,0.064,0.116,0.049
F,5,F5,3,3C,193,0.094,0.205,0.062
G,5,G5,3,3C,194,0.065,0.087,0.062
H,5,H5,3,3C,195,0.07,0.111,0.06
A,6,A6,3,3C,196,0.08,0.117,0.072
B,6,B6,3,3C,197,0.078,0.154,0.05
C,6,C6,3,3C,198,0.072,0.13,0.055
D,6,D6,3,3C,199,0.066,0.118,0.052
E,6,E6,3,3C,200,0.082,0.145,0.059
F,6,F6,3,3C,201,0.089,0.215,0.047
G,6,G6,3,3C,202,0.071,0.126,0.05
H,6,H6,3,3C,203,0.063,0.1,0.048
A,7,A7,3,3C,204,0.106,0.263,0.05
B,7,B7,3,3C,205,0.096,0.249,0.048
C,7,C7,3,3C,206,0.066,0.132,0.047
D,7,D7,3,3C,207,0.083,0.195,0.047
E,7,E7,3,3C,208,0.064,0.117,0.044
F,7,F7,3,3C,209,0.059,0.112,0.043
G,7,G7,3,3C,210,0.083,0.205,0.046
H,7,H7,3,3C,211,0.064,0.118,0.051
A,8,A8,3,3C,212,0.105,0.218,0.072
B,8,B8,3,3C,213,0.082,0.179,0.052
C,8,C8,3,3C,214,0.06,0.103,0.049
D,8,D8,3,3C,215,0.062,0.095,0.051
E,8,E8,3,3C,216,0.078,0.162,0.052
F,8,F8,3,3C,217,0.071,0.139,0.05
G,8,G8,3,3C,218,0.087,0.232,0.046
H,8,H8,3,3C,219,0.066,0.118,0.052
A,9,A9,3,3C,220,0.07,0.131,0.052
B,9,B9,3,3C,221,0.06,0.105,0.046
C,9,C9,3,3C,222,0.065,0.134,0.043
D,9,D9,3,3C,223,0.067,0.12,0.05
E,9,E9,3,3C,224,0.079,0.183,0.047
F,9,F9,3,3C,225,0.054,0.094,0.043
G,9,G9,3,3C,226,0.063,0.13,0.045
H,9,H9,3,3C,227,0.075,0.156,0.051
A,10,A10,3,3C,228,0.076,0.139,0.059
B,10,B10,3,3C,229,0.074,0.124,0.061
C,10,C10,3,3C,230,0.08,0.197,0.043
D,10,D10,3,3C,231,0.058,0.101,0.045
E,10,E10,3,3C,232,0.073,0.148,0.046
F,10,F10,3,3C,233,0.101,0.241,0.049
G,10,G10,3,3C,234,0.072,0.138,0.05
H,10,H10,3,3C,235,0.11,0.273,0.046
A,11,A11,3,3C,236,0.083,0.158,0.064
B,11,B11,3,3C,237,0.063,0.114,0.048
C,11,C11,3,3C,238,0.066,0.11,0.058
D,11,D11,3,3C,239,0.069,0.146,0.046
E,11,E11,3,3C,240,0.058,0.087,0.049
A,1,A1,1,1A,P1,0.179,0.225,0.091
B,1,B1,1,1A,P2,0.223,0.233,0.093
C,1,C1,1,1A,P3,0.238,0.311,0.153
D,1,D1,1,1A,P4,0.261,0.327,0.114
E,1,E1,1,1A,P5,0.235,0.251,0.093
F,1,F1,1,1A,P6,0.258,0.32,0.097
G,1,G1,1,1A,P7,0.268,0.373,0.099
H,1,H1,1,1A,P8,0.247,0.32,0.103
A,2,A2,1,1A,P9,0.2,0.32,0.094
B,2,B2,1,1A,P10,0.257,0.358,0.174
C,2,C2,1,1A,P11,0.214,0.247,0.086
D,2,D2,1,1A,P12,0.27,0.379,0.122
E,2,E2,1,1A,P13,0.266,0.389,0.177
F,2,F2,1,1A,P14,0.254,0.371,0.118
G,2,G2,1,1A,P15,0.304,0.497,0.106
H,2,H2,1,1A,P16,0.284,0.358,0.103
A,3,A3,1,1A,P17,0.139,0.249,0.039
B,3,B3,1,1A,P18,0.188,0.272,0.099
C,3,C3,1,1A,P19,0.217,0.277,0.09
D,3,D3,1,1A,P20,0.243,0.332,0.099
E,3,E3,1,1A,P21,0.258,0.353,0.186
F,3,F3,1,1A,P22,0.257,0.422,0.091
G,3,G3,1,1A,P23,0.256,0.378,0.191
H,3,H3,1,1A,P24,0.313,0.473,0.108
A,4,A4,1,1A,P25,0.186,0.301,0.065
B,4,B4,1,1A,P26,0.165,0.201,0.093
C,4,C4,1,1A,P27,0.243,0.312,0.142
D,4,D4,1,1A,P28,0.226,0.254,0.113
E,4,E4,1,1A,P29,0.172,0.2,0.128
F,4,F4,1,1A,P30,0.24,0.27,0.092
G,4,G4,1,1A,P31,0.253,0.357,0.187
H,4,H4,1,1A,P32,0.307,0.358,0.1
A,5,A5,1,1A,P33,0.145,0.232,0.016
B,5,B5,1,1A,P34,0.164,0.282,0.084
C,5,C5,1,1A,P35,0.203,0.32,0.089
D,5,D5,1,1A,P36,0.217,0.299,0.103
E,5,E5,1,1A,P37,0.237,0.338,0.171
F,5,F5,1,1A,P38,0.232,0.317,0.116
G,5,G5,1,1A,P39,0.309,0.467,0.21
H,5,H5,1,1A,P40,0.301,0.404,0.128
A,6,A6,1,1A,P41,0.161,0.248,0.044
B,6,B6,1,1A,P42,0.167,0.266,0.087
C,6,C6,1,1A,P43,0.194,0.348,0.08
D,6,D6,1,1A,P44,0.181,0.23,0.095
E,6,E6,1,1A,P45,0.25,0.352,0.136
F,6,F6,1,1A,P46,0.224,0.273,0.104
G,6,G6,1,1A,P47,0.289,0.358,0.201
H,6,H6,1,1A,P48,0.263,0.365,0.124
A,7,A7,1,1A,P49,0.126,0.2,0.02
B,7,B7,1,1A,P50,0.153,0.183,0.088
C,7,C7,1,1A,P51,0.185,0.309,0.086
D,7,D7,1,1A,P52,0.156,0.247,0.088
E,7,E7,1,1A,P53,0.31,0.476,0.202
F,7,F7,1,1A,P54,0.214,0.35,0.125
A,8,A8,1,1A,P1,0.126,0.185,0.04
B,8,B8,1,1A,P2,0.161,0.19,0.097
C,8,C8,1,1A,P3,0.177,0.263,0.08
D,8,D8,1,1A,P4,0.205,0.297,0.104
E,8,E8,1,1A,P5,0.269,0.311,0.193
F,8,F8,1,1A,P6,0.201,0.288,0.136
G,8,G8,1,1A,P7,0.302,0.422,0.185
H,8,H8,1,1A,P8,0.271,0.31,0.085
A,9,A9,1,1A,P9,0.168,0.285,0.06
B,9,B9,1,1A,P10,0.19,0.294,0.104
C,9,C9,1,1A,P11,0.12,0.166,0.053
D,9,D9,1,1A,P12,0.18,0.302,0.068
E,9,E9,1,1A,P13,0.292,0.411,0.198
F,9,F9,1,1A,P14,0.246,0.346,0.116
G,9,G9,1,1A,P15,0.33,0.521,0.177
H,9,H9,1,1A,P16,0.276,0.329,0.091
A,10,A10,1,1A,P17,0.171,0.283,0.077
B,10,B10,1,1A,P18,0.159,0.237,0.084
C,10,C10,1,1A,P19,0.166,0.22,0.082
D,10,D10,1,1A,P20,0.189,0.278,0.084
E,10,E10,1,1A,P21,0.253,0.337,0.171
F,10,F10,1,1A,P22,0.276,0.434,0.139
G,10,G10,1,1A,P23,0.287,0.39,0.174
H,10,H10,1,1A,P24,0.269,0.417,0.094
A,11,A11,1,1A,P25,0.163,0.257,0.058
B,11,B11,1,1A,P26,0.139,0.16,0.077
C,11,C11,1,1A,P27,0.168,0.219,0.077
A,1,A1,1,1B,P1,0.282,0.352,0.221
B,1,B1,1,1B,P2,0.124,0.158,0.104
C,1,C1,1,1B,P3,0.323,0.405,0.248
D,1,D1,1,1B,P4,0.335,0.411,0.269
E,1,E1,1,1B,P5,0.294,0.326,0.24
F,1,F1,1,1B,P6,0.158,0.256,0.149
G,1,G1,1,1B,P7,0.095,0.235,0.062
H,1,H1,1,1B,P8,0.294,0.354,0.252
A,2,A2,1,1B,P9,0.312,0.434,0.226
B,2,B2,1,1B,P10,0.314,0.41,0.236
C,2,C2,1,1B,P11,0.081,0.133,0.061
D,2,D2,1,1B,P12,0.348,0.471,0.265
E,2,E2,1,1B,P13,0.352,0.472,0.265
F,2,F2,1,1B,P14,0.23,0.358,0.206
G,2,G2,1,1B,P15,0.199,0.396,0.119
H,2,H2,1,1B,P16,0.331,0.402,0.27
A,3,A3,1,1B,P17,0.263,0.375,0.185
B,3,B3,1,1B,P18,0.317,0.401,0.239
C,3,C3,1,1B,P19,0.319,0.373,0.255
D,3,D3,1,1B,P20,0.339,0.427,0.257
E,3,E3,1,1B,P21,0.347,0.433,0.265
F,3,F3,1,1B,P22,0.093,0.282,0.03
G,3,G3,1,1B,P23,0.29,0.41,0.234
H,3,H3,1,1B,P24,0.369,0.536,0.276
A,4,A4,1,1B,P25,0.231,0.335,0.164
B,4,B4,1,1B,P26,0.038,0.073,0.025
C,4,C4,1,1B,P27,0.328,0.373,0.248
D,4,D4,1,1B,P28,0.31,0.33,0.25
E,4,E4,1,1B,P29,0.282,0.304,0.24
F,4,F4,1,1B,P30,0.297,0.336,0.249
G,4,G4,1,1B,P31,0.243,0.329,0.107
H,4,H4,1,1B,P32,0.322,0.389,0.276
A,5,A5,1,1B,P33,0.263,0.356,0.186
B,5,B5,1,1B,P34,0.31,0.421,0.218
C,5,C5,1,1B,P35,0.273,0.389,0.195
D,5,D5,1,1B,P36,0.129,0.224,0.08
E,5,E5,1,1B,P37,0.34,0.437,0.26
F,5,F5,1,1B,P38,0.348,0.444,0.27
G,5,G5,1,1B,P39,0.159,0.325,0.084
H,5,H5,1,1B,P40,0.333,0.453,0.278
A,6,A6,1,1B,P41,0.254,0.352,0.176
B,6,B6,1,1B,P42,0.299,0.393,0.207
C,6,C6,1,1B,P43,0.23,0.396,0.167
D,6,D6,1,1B,P44,0.026,0.088,0.01
E,6,E6,1,1B,P45,0.311,0.425,0.235
F,6,F6,1,1B,P46,0.34,0.393,0.27
G,6,G6,1,1B,P47,0.342,0.425,0.279
H,6,H6,1,1B,P48,0.251,0.372,0.22
A,7,A7,1,1B,P49,0.237,0.319,0.169
B,7,B7,1,1B,P50,0.276,0.296,0.205
C,7,C7,1,1B,P51,0.335,0.455,0.23
D,7,D7,1,1B,P52,0.32,0.391,0.226
E,7,E7,1,1B,P53,0.357,0.526,0.253
F,7,F7,1,1B,P54,0.351,0.493,0.254
A,8,A8,1,1B,P28,0.216,0.239,0.159
B,8,B8,1,1B,P29,0.27,0.276,0.196
C,8,C8,1,1B,P30,0.209,0.246,0.178
D,8,D8,1,1B,P31,0.179,0.28,0.145
E,8,E8,1,1B,P32,0.054,0.129,0.026
F,8,F8,1,1B,P33,0.354,0.436,0.257
G,8,G8,1,1B,P34,0.354,0.463,0.267
H,8,H8,1,1B,P35,0.348,0.452,0.273
A,9,A9,1,1B,P36,0.257,0.322,0.156
B,9,B9,1,1B,P37,0.289,0.355,0.184
C,9,C9,1,1B,P38,0.311,0.365,0.209
D,9,D9,1,1B,P39,0.292,0.413,0.178
E,9,E9,1,1B,P40,0.255,0.347,0.175
F,9,F9,1,1B,P41,0.31,0.394,0.229
G,9,G9,1,1B,P42,0.352,0.435,0.267
H,9,H9,1,1B,P43,0.419,0.614,0.379
A,10,A10,1,1B,P44,0.255,0.283,0.159
B,10,B10,1,1B,P45,0.302,0.382,0.19
C,10,C10,1,1B,P46,0.289,0.312,0.2
D,10,D10,1,1B,P47,0.171,0.228,0.105
E,10,E10,1,1B,P48,0.261,0.369,0.213
F,10,F10,1,1B,P49,0.316,0.377,0.24
G,10,G10,1,1B,P50,0.317,0.33,0.26
H,10,H10,1,1B,P51,0.307,0.425,0.241
A,11,A11,1,1B,P52,0.216,0.283,0.142
B,11,B11,1,1B,P53,0.314,0.437,0.196
C,11,C11,1,1B,P54,0.194,0.331,0.141
A,1,A1,2,2A,P55,0.133,0.17,0.104
B,1,B1,2,2A,P56,0.037,0.165,0.01
C,1,C1,2,2A,P57,0.022,0.081,0.006
D,1,D1,2,2A,P58,0.017,0.076,0.001
E,1,E1,2,2A,P59,0.03,0.116,0.008
F,1,F1,2,2A,P60,0.034,0.138,0.005
G,1,G1,2,2A,P61,0.02,0.091,0.001
H,1,H1,2,2A,P62,0.049,0.172,0.004
A,2,A2,2,2A,P63,0.156,0.259,0.117
B,2,B2,2,2A,P64,0.019,0.073,0.006
C,2,C2,2,2A,P65,0.032,0.115,0.007
D,2,D2,2,2A,P66,0.039,0.168,0.006
E,2,E2,2,2A,P67,0.02,0.079,0.005
F,2,F2,2,2A,P68,0.016,0.07,0.004
G,2,G2,2,2A,P69,0.037,0.167,0.005
H,2,H2,2,2A,P70,0.032,0.121,0.008
A,3,A3,2,2A,P71,0.056,0.191,0.01
B,3,B3,2,2A,P72,0.019,0.081,0.006
C,3,C3,2,2A,P73,0.027,0.098,0.006
D,3,D3,2,2A,P74,0.046,0.181,0.008
E,3,E3,2,2A,P75,0.035,0.143,0.004
F,3,F3,2,2A,P76,0.035,0.123,0.005
G,3,G3,2,2A,P77,0.046,0.199,0.006
H,3,H3,2,2A,P78,0.034,0.121,0.011
A,4,A4,2,2A,P79,0.018,0.064,0.005
B,4,B4,2,2A,P80,0.02,0.074,0.005
C,4,C4,2,2A,P81,0.029,0.128,0.005
D,4,D4,2,2A,P82,0.018,0.071,0.004
E,4,E4,2,2A,P83,0.035,0.136,0.005
F,4,F4,2,2A,P84,0.022,0.073,0.008
G,4,G4,2,2A,P85,0.02,0.074,0.006
H,4,H4,2,2A,P87,0.056,0.201,0.012
A,5,A5,2,2A,P88,0.023,0.082,0.006
B,5,B5,2,2A,P89,0.023,0.1,0.005
C,5,C5,2,2A,P90,0.037,0.153,0.005
D,5,D5,2,2A,P91,0.026,0.1,0.005
E,5,E5,2,2A,P92,0.021,0.089,0.003
F,5,F5,2,2A,P93,0.051,0.119,0.017
G,5,G5,2,2A,P94,0.016,0.064,0.006
H,5,H5,2,2A,P95,0.012,0.036,0.008
A,6,A6,2,2A,P96,0.015,0.048,0.009
B,6,B6,2,2A,P97,0.018,0.073,0.004
C,6,C6,2,2A,P98,0.019,0.069,0.006
D,6,D6,2,2A,P99,0.016,0.064,0.005
E,6,E6,2,2A,P100,0.012,0.048,0.003
F,6,F6,2,2A,P101,0.016,0.057,0.004
G,6,G6,2,2A,P102,0.017,0.05,0.007
H,6,H6,2,2A,P103,0.031,0.091,0.013
A,7,A7,2,2A,P104,0.032,0.109,0.009
B,7,B7,2,2A,P105,0.031,0.129,0.007
C,7,C7,2,2A,P106,0.031,0.128,0.008
D,7,D7,2,2A,P107,0.02,0.088,0.006
E,7,E7,2,2A,P108,0.014,0.058,0.004
A,8,A8,2,2A,P55,0.117,0.159,0.092
B,8,B8,2,2A,P56,0.052,0.197,0.01
C,8,C8,2,2A,P57,0.022,0.092,0.005
D,8,D8,2,2A,P58,0.024,0.093,0.005
E,8,E8,2,2A,P59,0.032,0.133,0.004
F,8,F8,2,2A,P60,0.035,0.145,0.004
G,8,G8,2,2A,P61,0.03,0.102,0.008
A,9,A9,2,2A,P63,0.149,0.236,0.103
B,9,B9,2,2A,P64,0.019,0.069,0.005
C,9,C9,2,2A,P65,0.03,0.11,0.005
D,9,D9,2,2A,P66,0.039,0.159,0.007
E,9,E9,2,2A,P67,0.072,0.143,0.074
F,9,F9,2,2A,P68,0.016,0.067,0.004
G,9,G9,2,2A,P69,0.055,0.175,0.035
H,9,H9,2,2A,P70,0.107,0.184,0.092
A,10,A10,2,2A,P71,0.185,0.307,0.115
B,10,B10,2,2A,P72,0.051,0.105,0.03
C,10,C10,2,2A,P73,0.032,0.099,0.011
D,10,D10,2,2A,P74,0.042,0.173,0.005
E,10,E10,2,2A,P75,0.036,0.134,0.004
F,10,F10,2,2A,P76,0.148,0.227,0.116
G,10,G10,2,2A,P77,0.21,0.336,0.168
H,10,H10,2,2A,P78,0.082,0.145,0.062
A,11,A11,2,2A,P79,0.171,0.204,0.127
B,11,B11,2,2A,P80,0.116,0.161,0.093
C,11,C11,2,2A,P81,0.028,0.12,0.005
D,11,D11,2,2A,P62,0.048,0.176,0.008
A,1,A1,2,2B,P55,0.247,0.275,0.142
B,1,B1,2,2B,P56,0.322,0.453,0.217
C,1,C1,2,2B,P57,0.226,0.293,0.152
D,1,D1,2,2B,P58,0.018,0.09,0
E,1,E1,2,2B,P59,0.049,0.15,0.018
F,1,F1,2,2B,P60,0.15,0.267,0.091
G,1,G1,2,2B,P61,0.231,0.303,0.164
H,1,H1,2,2B,P62,0.334,0.577,0.392
A,2,A2,2,2B,P63,0.25,0.347,0.132
B,2,B2,2,2B,P64,0.245,0.281,0.124
C,2,C2,2,2B,P65,0.253,0.33,0.141
D,2,D2,2,2B,P66,0.179,0.311,0.126
E,2,E2,2,2B,P67,0.225,0.284,0.153
F,2,F2,2,2B,P68,0.012,0.069,0
G,2,G2,2,2B,P69,0.187,0.322,0.124
H,2,H2,2,2B,P70,0.254,0.345,0.186
A,3,A3,2,2B,P71,0.289,0.436,0.153
B,3,B3,2,2B,P72,0.259,0.304,0.146
C,3,C3,2,2B,P73,0.273,0.326,0.149
D,3,D3,2,2B,P74,0.284,0.417,0.167
E,3,E3,2,2B,P75,0.091,0.203,0.055
F,3,F3,2,2B,P76,0.087,0.176,0.053
G,3,G3,2,2B,P77,0.21,0.366,0.147
H,3,H3,2,2B,P78,0.153,0.237,0.139
A,4,A4,2,2B,P79,0.247,0.293,0.144
B,4,B4,2,2B,P80,0.26,0.306,0.162
C,4,C4,2,2B,P81,0.25,0.348,0.148
D,4,D4,2,2B,P82,0.232,0.282,0.163
E,4,E4,2,2B,P83,0.094,0.201,0.075
F,4,F4,2,2B,P84,0.189,0.237,0.141
G,4,G4,2,2B,P85,0.086,0.149,0.086
H,4,H4,2,2B,P87,0.263,0.402,0.178
A,5,A5,2,2B,P88,0.237,0.298,0.144
B,5,B5,2,2B,P89,0.241,0.321,0.152
C,5,C5,2,2B,P90,0.282,0.391,0.162
D,5,D5,2,2B,P91,0.169,0.248,0.132
E,5,E5,2,2B,P92,0.182,0.252,0.141
F,5,F5,2,2B,P93,0.164,0.24,0.134
G,5,G5,2,2B,P94,0.202,0.251,0.163
H,5,H5,2,2B,P95,0.247,0.271,0.191
A,6,A6,2,2B,P96,0.22,0.255,0.125
B,6,B6,2,2B,P97,0.087,0.144,0.051
C,6,C6,2,2B,P98,0.07,0.123,0.047
D,6,D6,2,2B,P99,0.023,0.073,0.011
E,6,E6,2,2B,P100,0.009,0.048,0.001
F,6,F6,2,2B,P101,0.063,0.106,0.054
G,6,G6,2,2B,P102,0.227,0.258,0.168
H,6,H6,2,2B,P103,0.247,0.303,0.185
A,7,A7,2,2B,P104,0.255,0.337,0.118
B,7,B7,2,2B,P105,0.227,0.326,0.128
C,7,C7,2,2B,P106,0.268,0.351,0.147
D,7,D7,2,2B,P107,0.166,0.221,0.086
E,7,E7,2,2B,P108,0.165,0.208,0.131
A,8,A8,2,2B,P82,0.25,0.289,0.115
B,8,B8,2,2B,P83,0.228,0.328,0.124
C,8,C8,2,2B,P84,0.216,0.218,0.101
D,8,D8,2,2B,P85,0.213,0.243,0.104
F,8,F8,2,2B,P88,0.091,0.151,0.074
G,8,G8,2,2B,P89,0.284,0.344,0.205
H,8,H8,2,2B,P90,0.199,0.307,0.152
A,9,A9,2,2B,P91,0.165,0.225,0.106
B,9,B9,2,2B,P92,0.227,0.281,0.115
C,9,C9,2,2B,P93,0.14,0.184,0.081
D,9,D9,2,2B,P94,0.214,0.232,0.111
E,9,E9,2,2B,P95,0.174,0.187,0.121
F,9,F9,2,2B,P96,0.009,0.047,0.001
G,9,G9,2,2B,P97,0.183,0.233,0.163
H,9,H9,2,2B,P98,0.062,0.107,0.046
A,10,A10,2,2B,P99,0.271,0.302,0.154
B,10,B10,2,2B,P100,0.033,0.068,0.028
C,10,C10,2,2B,P101,0.128,0.165,0.097
D,10,D10,2,2B,P102,0.223,0.217,0.108
E,10,E10,2,2B,P103,0.021,0.077,0.005
F,10,F10,2,2B,P104,0.231,0.301,0.176
G,10,G10,2,2B,P105,0.228,0.315,0.185
H,10,H10,2,2B,P106,0.025,0.117,0.003
A,11,A11,2,2B,P107,0.248,0.28,0.137
B,11,B11,2,2B,P108,0.13,0.151,0.081
C,11,C11,2,2B,P87,0.176,0.3,0.096
