Row,Column,Well,Set,Plate,RandN,A630,A663,A750
B,6,B6,1,1B,35,0.078,0.175,0.045
C,6,C6,1,1B,36,0.082,0.174,0.045
D,6,D6,1,1B,37,0.093,0.213,0.043
E,6,E6,1,1B,38,0.064,0.126,0.043
F,6,F6,1,1B,39,0.089,0.201,0.044
G,6,G6,1,1B,40,0.061,0.101,0.043
H,6,H6,1,1B,41,0.075,0.142,0.049
A,7,A7,1,1B,42,0.076,0.149,0.051
B,7,B7,1,1B,44,0.063,0.114,0.047
C,7,C7,1,1B,45,0.073,0.161,0.048
D,7,D7,1,1B,46,0.061,0.11,0.047
E,7,E7,1,1B,47,0.073,0.159,0.043
F,7,F7,1,1B,48,0.065,0.13,0.044
G,7,G7,1,1B,49,0.089,0.189,0.044
H,7,H7,1,1B,50,0.063,0.104,0.05
A,8,A8,1,1B,51,0.08,0.164,0.047
B,8,B8,1,1B,52,0.067,0.127,0.045
C,8,C8,1,1B,53,0.067,0.128,0.044
D,8,D8,1,1B,54,0.058,0.104,0.045
E,8,E8,1,1B,56,0.046,0.069,0.041
F,8,F8,1,1B,57,0.062,0.126,0.042
G,8,G8,1,1B,58,0.086,0.193,0.042
H,8,H8,1,1B,59,0.092,0.204,0.046
A,9,A9,1,1B,60,0.083,0.174,0.047
B,9,B9,1,1B,61,0.058,0.099,0.044
C,9,C9,1,1B,62,0.068,0.139,0.046
D,9,D9,1,1B,63,0.073,0.153,0.044
E,9,E9,1,1B,64,0.056,0.111,0.043
F,9,F9,1,1B,65,0.084,0.207,0.042
G,9,G9,1,1B,66,0.08,0.172,0.043
H,9,H9,1,1B,67,0.075,0.168,0.047
A,10,A10,1,1B,68,0.072,0.16,0.052
B,10,B10,1,1B,69,0.081,0.174,0.047
C,10,C10,1,1B,70,0.072,0.155,0.046
D,10,D10,1,1B,71,0.063,0.119,0.047
E,10,E10,1,1B,72,0.078,0.174,0.042
F,10,F10,1,1B,73,0.075,0.164,0.044
G,10,G10,1,1B,74,0.078,0.167,0.048
H,10,H10,1,1B,75,0.064,0.106,0.049
A,11,A11,1,1B,77,0.091,0.203,0.049
A,1,A1,1,1C,1,0.076,0.176,0.039
B,1,B1,1,1C,2,0.08,0.187,0.038
C,1,C1,1,1C,3,0.074,0.19,0.037
D,1,D1,1,1C,4,0.068,0.162,0.037
E,1,E1,1,1C,5,0.055,0.106,0.037
F,1,F1,1,1C,6,0.082,0.224,0.039
G,1,G1,1,1C,7,0.073,0.183,0.04
H,1,H1,1,1C,8,0.053,0.097,0.039
A,3,A3,1,1C,9,0.074,0.168,0.046
B,3,B3,1,1C,10,0.074,0.169,0.045
C,3,C3,1,1C,11,0.054,0.082,0.049
D,3,D3,1,1C,12,0.079,0.126,0.064
E,3,E3,1,1C,13,0.08,0.176,0.046
F,3,F3,1,1C,14,0.068,0.146,0.041
G,3,G3,1,1C,15,0.208,0.25,0.179
H,3,H3,1,1C,16,0.089,0.195,0.046
A,4,A4,1,1C,17,0.065,0.121,0.047
B,4,B4,1,1C,18,0.083,0.188,0.042
C,4,C4,1,1C,19,0.06,0.116,0.042
D,4,D4,1,1C,20,0.08,0.19,0.042
E,4,E4,1,1C,21,0.086,0.199,0.041
F,4,F4,1,1C,23,0.074,0.167,0.042
G,4,G4,1,1C,24,0.069,0.146,0.042
H,4,H4,1,1C,25,0.07,0.146,0.043
A,5,A5,1,1C,26,0.06,0.104,0.043
B,5,B5,1,1C,27,0.079,0.18,0.042
C,5,C5,1,1C,28,0.112,0.288,0.041
D,5,D5,1,1C,29,0.118,0.29,0.043
E,5,E5,1,1C,30,0.078,0.172,0.039
F,5,F5,1,1C,31,0.063,0.125,0.04
G,5,G5,1,1C,32,0.07,0.149,0.043
H,5,H5,1,1C,33,0.058,0.097,0.047
A,6,A6,1,1C,34,0.089,0.207,0.043
B,6,B6,1,1C,35,0.082,0.199,0.043
C,6,C6,1,1C,36,0.087,0.194,0.042
D,6,D6,1,1C,37,0.101,0.242,0.042
E,6,E6,1,1C,38,0.067,0.139,0.041
F,6,F6,1,1C,39,0.102,0.23,0.048
G,6,G6,1,1C,40,0.059,0.109,0.042
H,6,H6,1,1C,41,0.078,0.163,0.046
A,7,A7,1,1C,42,0.081,0.169,0.048
B,7,B7,1,1C,44,0.064,0.123,0.043
C,7,C7,1,1C,45,0.075,0.178,0.041
D,7,D7,1,1C,46,0.062,0.12,0.042
E,7,E7,1,1C,47,0.075,0.178,0.038
F,7,F7,1,1C,48,0.066,0.141,0.039
G,7,G7,1,1C,49,0.09,0.21,0.043
H,7,H7,1,1C,50,0.062,0.112,0.045
A,8,A8,1,1C,51,0.085,0.182,0.046
B,8,B8,1,1C,52,0.069,0.137,0.042
C,8,C8,1,1C,53,0.069,0.139,0.041
D,8,D8,1,1C,54,0.058,0.11,0.041
E,8,E8,1,1C,56,0.046,0.072,0.038
F,8,F8,1,1C,57,0.064,0.137,0.04
G,8,G8,1,1C,58,0.092,0.219,0.04
H,8,H8,1,1C,59,0.086,0.188,0.044
A,9,A9,1,1C,60,0.082,0.194,0.043
B,9,B9,1,1C,61,0.065,0.11,0.046
C,9,C9,1,1C,62,0.071,0.154,0.042
D,9,D9,1,1C,63,0.076,0.17,0.04
E,9,E9,1,1C,64,0.058,0.121,0.041
F,9,F9,1,1C,65,0.089,0.233,0.041
G,9,G9,1,1C,66,0.087,0.199,0.04
H,9,H9,1,1C,67,0.079,0.187,0.043
A,10,A10,1,1C,68,0.078,0.177,0.051
B,10,B10,1,1C,69,0.084,0.195,0.044
C,10,C10,1,1C,70,0.075,0.175,0.043
D,10,D10,1,1C,71,0.066,0.132,0.043
E,10,E10,1,1C,72,0.082,0.192,0.039
F,10,F10,1,1C,73,0.073,0.158,0.044
G,10,G10,1,1C,74,0.087,0.194,0.05
H,10,H10,1,1C,75,0.065,0.116,0.048
A,11,A11,1,1C,77,0.096,0.201,0.056
A,1,A1,2,2A,78,0.078,0.182,0.039
B,1,B1,2,2A,79,0.067,0.152,0.036
C,1,C1,2,2A,80,0.063,0.14,0.038
D,1,D1,2,2A,82,0.07,0.168,0.037
E,1,E1,2,2A,83,0.064,0.141,0.037
F,1,F1,2,2A,84,0.091,0.235,0.037
G,1,G1,2,2A,85,0.089,0.228,0.039
H,1,H1,2,2A,86,0.049,0.084,0.039
A,2,A2,2,2A,87,0.081,0.176,0.045
B,2,B2,2,2A,88,0.055,0.095,0.043
C,2,C2,2,2A,89,0.064,0.128,0.043
D,2,D2,2,2A,90,0.098,0.25,0.042
E,2,E2,2,2A,91,0.051,0.087,0.041
F,2,F2,2,2A,92,0.072,0.163,0.041
G,2,G2,2,2A,93,0.074,0.161,0.043
H,2,H2,2,2A,94,0.067,0.136,0.041
A,3,A3,2,2A,96,0.061,0.116,0.046
B,3,B3,2,2A,98,0.077,0.169,0.044
C,3,C3,2,2A,99,0.075,0.165,0.043
D,3,D3,2,2A,100,0.087,0.199,0.042
E,3,E3,2,2A,101,0.074,0.155,0.041
F,3,F3,2,2A,102,0.078,0.168,0.042
G,3,G3,2,2A,103,0.064,0.128,0.041
H,3,H3,2,2A,104,0.067,0.142,0.043
A,4,A4,2,2A,105,0.07,0.135,0.044
B,4,B4,2,2A,106,0.111,0.285,0.042
C,4,C4,2,2A,107,0.098,0.237,0.042
D,4,D4,2,2A,108,0.055,0.099,0.042
E,4,E4,2,2A,109,0.077,0.171,0.041
F,4,F4,2,2A,110,0.086,0.208,0.041
G,4,G4,2,2A,111,0.045,0.064,0.041
H,4,H4,2,2A,112,0.065,0.134,0.042
A,5,A5,2,2A,113,0.094,0.232,0.044
B,5,B5,2,2A,114,0.064,0.128,0.043
C,5,C5,2,2A,116,0.068,0.14,0.042
D,5,D5,2,2A,117,0.067,0.115,0.043
E,5,E5,2,2A,119,0.042,0.053,0.04
F,5,F5,2,2A,120,0.054,0.101,0.04
