Row,Column,Well,Set,Plate,Wavelength,A562,Input,RandN,Fraction
E,3,E3,1,1B,562,0.916,Un,12,C
F,3,F3,1,1B,562,0.907,Un,13,C
G,3,G3,1,1B,562,1.007,Un,14,C
H,3,H3,1,1B,562,0.79,Un,15,C
A,4,A4,1,1B,562,1.205,Un,16,C
B,4,B4,1,1B,562,0.98,Un,17,C
C,4,C4,1,1B,562,0.696,Un,18,C
D,4,D4,1,1B,562,0.919,Un,19,C
E,4,E4,1,1B,562,0.873,Un,20,C
F,4,F4,1,1B,562,1.094,Un,21,C
G,4,G4,1,1B,562,1.135,Un,23,C
H,4,H4,1,1B,562,0.832,Un,24,C
A,5,A5,1,1B,562,1.156,Un,25,C
B,5,B5,1,1B,562,0.537,Un,26,C
C,5,C5,1,1B,562,0.937,Un,27,C
D,5,D5,1,1B,562,1.079,Un,28,C
E,5,E5,1,1B,562,1.464,Un,29,C
F,5,F5,1,1B,562,0.924,Un,30,C
G,5,G5,1,1B,562,0.521,Un,31,C
H,5,H5,1,1B,562,0.793,Un,32,C
A,6,A6,1,1B,562,0.581,Un,33,C
B,6,B6,1,1B,562,0.796,Un,34,C
C,6,C6,1,1B,562,0.869,Un,35,C
D,6,D6,1,1B,562,0.649,Un,36,C
E,6,E6,1,1B,562,1.064,Un,37,C
F,6,F6,1,1B,562,0.791,Un,38,C
A,7,A7,1,1B,562,0.896,Un,41,C
B,7,B7,1,1B,562,1.027,Un,42,C
C,7,C7,1,1B,562,0.543,Un,44,C
D,7,D7,1,1B,562,0.97,Un,45,C
E,7,E7,1,1B,562,0.674,Un,46,C
F,7,F7,1,1B,562,0.663,Un,47,C
G,7,G7,1,1B,562,0.693,Un,48,C
H,7,H7,1,1B,562,1.011,Un,49,C
A,8,A8,1,1B,562,0.951,Un,50,C
B,8,B8,1,1B,562,1.178,Un,51,C
C,8,C8,1,1B,562,0.777,Un,52,C
D,8,D8,1,1B,562,0.8,Un,53,C
E,8,E8,1,1B,562,0.641,Un,54,C
F,8,F8,1,1B,562,0.534,Un,56,C
G,8,G8,1,1B,562,0.693,Un,57,C
H,8,H8,1,1B,562,1.271,Un,58,C
A,9,A9,1,1B,562,1.094,Un,59,C
B,9,B9,1,1B,562,1.492,Un,60,C
C,9,C9,1,1B,562,0.925,Un,61,C
D,9,D9,1,1B,562,0.907,Un,62,C
E,9,E9,1,1B,562,0.844,Un,63,C
F,9,F9,1,1B,562,0.595,Un,64,C
G,9,G9,1,1B,562,0.905,Un,65,C
H,9,H9,1,1B,562,0.913,Un,66,C
A,10,A10,1,1B,562,1.086,Un,67,C
B,10,B10,1,1B,562,0.986,Un,68,C
C,10,C10,1,1B,562,1.082,Un,69,C
D,10,D10,1,1B,562,1.137,Un,70,C
E,10,E10,1,1B,562,1.229,Un,71,C
F,10,F10,1,1B,562,1.111,Un,72,C
G,10,G10,1,1B,562,1.146,Un,73,C
H,10,H10,1,1B,562,0.959,Un,74,C
A,11,A11,1,1B,562,0.775,Un,75,C
B,11,B11,1,1B,562,1.359,Un,77,C
